Day;Date;Weigth;Steps;Walk (min);Sport (min);Spent kcal;sleep time;GPS country
Su;18/12/2016;71,9;10014;96;0;417;;33
M;19/12/2016;71,9;5288;56;0;218;;212
Tu;20/12/2016;70,6;4816;49;0;204;;212
W;21/12/2016;70,5;867;64;0;277;;212
Th;22/12/2016;71,4;190;2;0;7;;212
F;23/12/2016;71,3;170;1;0;5;;212
Sa;24/12/2016;71,3;2480;24;0;108;;33
Su;25/12/2016;71,7;2147;22;0;95;;33
M;26/12/2016;71,2;4611;42;0;193;;33
Tu;27/12/2016;71,8;9321;87;1;389;;33
W;28/12/2016;71,6;5315;50;0;218;;33
Th;29/12/2016;71,2;5089;46;0;217;;33
F;30/12/2016;71,1;3114;30;0;126;;33
Sa;31/12/2016;71,4;3498;32;0;153;;33
Su;01/01/2017;;4175;37;1;177;;33
M;02/01/2017;70,9;2229;19;0;89;;33
Tu;03/01/2017;;4871;46;0;216;;33
W;04/01/2017;;6378;61;0;281;;33
Th;05/01/2017;;11867;112;1;495;;33
F;06/01/2017;;8128;78;1;358;;33
Sa;07/01/2017;;14654;133;3;624;;33
Su;08/01/2017;;6601;60;0;278;;33
M;09/01/2017;;7316;70;1;322;;33
Tu;10/01/2017;71,7;5429;49;0;242;;33
W;11/01/2017;;5768;53;0;250;;33
Th;12/01/2017;;5617;53;0;256;;33
F;13/01/2017;;5747;55;0;252;;33
Sa;14/01/2017;;6600;64;1;272;;33
Su;15/01/2017;;7094;65;1;296;;33
M;16/01/2017;;7629;70;1;339;;33
Tu;17/01/2017;;4914;43;1;223;;33
W;18/01/2017;71,8;7545;68;1;311;;33
Th;19/01/2017;;6609;58;1;297;;33
F;20/01/2017;;6029;56;1;266;;33
Sa;21/01/2017;71,9;;2;0;7;;33
Su;22/01/2017;;5839;54;1;255;;33
M;23/01/2017;;5923;54;0;254;;33
Tu;24/01/2017;;5902;55;0;262;;33
W;25/01/2017;;16066;155;2;679;;33
Th;26/01/2017;;7846;73;0;341;;33
F;27/01/2017;;4988;45;0;219;;33
Sa;28/01/2017;;8839;83;1;363;;33
Su;29/01/2017;;823;7;0;33;;33
M;30/01/2017;;5099;46;0;209;;33
Tu;31/01/2017;;9705;86;2;423;;33
